施打站全稱,施打站縣市,施打站行政區,施打站地址,預約電話
庚新診所,彰化縣,和美鎮,彰化縣和美鎮糖友街一街86號,04-7367-095
和興聯合診所,彰化縣,和美鎮,彰化縣和美鎮德美路289號,04-7564567
城堡耳鼻喉科診所,彰化縣,和美鎮,彰化縣和美鎮仁安路200號,04-7566550
曾榮昌診所,彰化縣,和美鎮,彰化縣和美鎮彰美路6段26號,04-7559151
佳佑小兒科診所,彰化縣,和美鎮,彰化縣和美鎮彰美路5段181號,04-7576678
宏名診所,彰化縣,社頭鄉,社頭鄉員集路2段327 329號,04-8723660
張景仁診所,彰化縣,社頭鄉,彰化縣社頭鄉社斗路一段279號,04-8725879
春卿診所,彰化縣,社頭鄉,彰化縣社頭鄉忠孝三路9號,04-8724211
向日葵診所,彰化縣,社頭鄉,彰化縣社頭鄉清水岩路406之1號,04-8726289
蜜蜂診所,彰化縣,社頭鄉,彰化縣社頭鄉信義三路72號,04-8720266
景新診所,彰化縣,社頭鄉,彰化縣社頭鄉清水岩路333號,04-8721227
張榮俊小兒科診所,彰化縣,社頭鄉,彰化縣社頭鄉員集路二段176號,04-8722171
長安診所,彰化縣,社頭鄉,彰化縣社頭鄉員集路二段6號,04-8727200
蕭國濃內兒科診所,彰化縣,社頭鄉,彰化縣社頭鄉員集路二段304號,04-8735901
大生診所,彰化縣,花壇鄉,彰化縣花壇鄉中正路56之8號,04-7875-686
志元診所,彰化縣,花壇鄉,花壇鄉長沙村中正路118號,04-7878892
龍安診所,彰化縣,花壇鄉,花壇鄉長沙村學前路240號,04-7860151
仁佑診所,彰化縣,花壇鄉,花壇鄉忠孝街100號,04-7878555
千千耳鼻喉科診所,彰化縣,花壇鄉,花壇鄉忠孝街100號,04-7878555
心佑診所,彰化縣,花壇鄉,花壇鄉忠孝街100號,04-7878555
楊博堯診所,彰化縣,員林市,彰化縣員林市中正路165號,04-836-1062
佳佳診所,彰化縣,員林市,彰化縣員林市南昌路90號,04-838-0016
長頸鹿小兒科診所,彰化縣,員林市,彰化縣員林市浮圳路二段370號,04-839-2039
合康診所,彰化縣,員林市,彰化縣員林市鎮南平街22-1號,04-836-3272
劉岳隆小兒科診所,彰化縣,員林市,彰化縣員林市中正路664號,04-832-0446
李明倫親子診所,彰化縣,員林市,彰化縣員林市大同路一段242號1樓,04-839-5686
寶貝熊小兒科,彰化縣,員林市,彰化縣員林市靜修東路78號,04-839-5253
慈安小兒科,彰化縣,員林市,彰化縣員林市光明街163號,04-8369-578
黃崇凱診所,彰化縣,員林市,員林市中山南路72號,04-8318286
張天長診所,彰化縣,員林市,彰化縣員林市員水路二段482號,04-8324479
天城外科診所,彰化縣,員林市,彰化縣員林市員水路二段482號,04-8324479
天廣診所 ,彰化縣,員林市,彰化縣員林市員水路二段482號,04-8324479
張哲嘉診所,彰化縣,員林市,彰化縣員林市三民街72號,04-8328432
盧天恩診所,彰化縣,員林市,彰化縣員林市林森路308號,04-8339159
統誠診所,彰化縣,員林市,彰化縣員林市正興街370號,04-8361818
統仁診所,彰化縣,員林市,彰化縣員林市正興街370號,04-8367128
統新診所,彰化縣,員林市,彰化縣員林市正興街368號2樓,04-8361818
育英診所,彰化縣,員林市,彰化縣員林市育英路37-12號,04-8331458
博文診所,彰化縣,員林市,彰化縣員林市員東路一段55號,04-8385546
郭員診所,彰化縣,員林市,彰化縣員林市三民街38-1號,04-8356001
小太陽小兒科診所,彰化縣,員林市,彰化縣員林市大同路一段285巷15號,04-8375331
蕭弘智診所,彰化縣,員林市,彰化縣員林市中山路2段114號,04-8357571
金俊診所,彰化縣,埔心鄉,彰化縣埔心鄉員鹿路二段317號,04-8295251
楊玉隆家庭醫學科診所,彰化縣,埔心鄉,彰化縣埔心鄉員鹿路二段327號,04-8290099
元泰診所,彰化縣,埔心鄉,彰化縣埔心鄉中山路39號,04-8234549
張維峯診所,彰化縣,埔鹽鄉,彰化縣埔鹽鄉彰水路一段375號,04-8655498
陳嘉烈診所,彰化縣,埤頭鄉,彰化縣埤頭鄉合興村斗苑西路156號,04-8920222
英仁診所,彰化縣,埤頭鄉,彰化縣埤頭鄉合興村斗苑西路277號,04-8922115
蘇外婦產科,彰化縣,埤頭鄉,彰化縣埤頭鄉合興村彰水路3段567號,04-8922170
光明診所,彰化縣,埤頭鄉,彰化縣埤頭鄉合興村斗苑西路426號,04-8925543
綜祐診所,彰化縣,埤頭鄉,彰化縣埤頭鄉合興村彰水路3段494號,04-8911911
祐康診所,彰化縣,埤頭鄉,彰化縣埤頭鄉合興村彰水路3段492 號,04-8911911
黃俊熙診所,彰化縣,鹿港鎮,彰化縣鹿港鎮頂番里頂草路一段12號,04-7718-955
謝政洪小兒科診所,彰化縣,鹿港鎮,彰化縣鹿港鎮復興路89號, 04-7743-388
頂安診所,彰化縣,鹿港鎮,彰化縣鹿港鎮鹿和路三段622巷5號,04-7722-989
宏文小兒科診所,彰化縣,鹿港鎮,彰化縣鹿港鎮中山路3-1號,04-7779-489
謝慧瑛小兒科診所,彰化縣,鹿港鎮,彰化縣鹿港鎮民權路57號,04-7769-955
吳肇基診所,彰化縣,鹿港鎮,彰化縣鹿港鎮民族路114號,04-7787-968
祐安小兒科診所,彰化縣,鹿港鎮,彰化縣鹿港鎮三民路125號,04-7755-602
佳生小兒科診所,彰化縣,鹿港鎮,彰化縣鹿港鎮民權路137號,04-7776-789
豐安診所,彰化縣,鹿港鎮,彰化縣鹿港鎮海浴路11-1號,04-7763711
葉宣哲診所,彰化縣,鹿港鎮,彰化縣鹿港鎮中山路348號,04-7764495
王健龍診所,彰化縣,鹿港鎮,彰化縣鹿港鎮中山路259號,04-7755188
施明哲診所,彰化縣,鹿港鎮,彰化縣鹿港鎮慶安街116號,04-7720866
潘明勳診所,彰化縣,鹿港鎮,彰化縣鹿港鎮復興路333號,04-7780567
葉騰鑫內科診所,彰化縣,鹿港鎮,彰化縣鹿港鎮民權路57號,04-7769955
王鏜焜小兒科診所,彰化縣,溪湖鎮,彰化縣溪湖鎮西環路246號,04-8825-835
簡志彰小兒科診所,彰化縣,溪湖鎮,彰化縣溪湖鎮東寮里育才街67號,04-8856-472
啄木鳥小兒科家庭醫學科診所,彰化縣,溪湖鎮,彰化縣溪湖鎮彰水路三段365.367號,04-8825-511
林光維診所,彰化縣,溪湖鎮,彰化縣溪湖鎮彰水路202號,04-8817993
顧明國診所,彰化縣,溪湖鎮,彰化縣溪湖鎮員鹿路3段169號,04-8816171
楊同榮診所,彰化縣,溪湖鎮,彰化縣溪湖鎮大竹里西環路27號,04-8850575
蔡明海診所,彰化縣,溪湖鎮,彰化縣溪湖鎮二溪路一段287號,04-8815523
吳順裕聯合診所,彰化縣,溪湖鎮,彰化縣溪湖鎮太平街56號,04-8852302
柯助伊婦產科診所,彰化縣,溪湖鎮,彰化縣溪湖鎮彰水路四段159號,04-8818-118
許立德小兒科診所,彰化縣,溪湖鎮,彰化縣溪湖鎮培英路42號,04-8856-518
黃紀源診所,彰化縣,彰化巿,彰化市中山路二段250號,04-7618238
孫楨文診所,彰化縣,彰化巿,彰化市華山路142號,04-7240178
十仁診所,彰化縣,彰化巿,彰化市辭修路82號,04-7281067
謝宗智診所,彰化縣,彰化巿,彰化市中正路2段426號,04-7224560
陳景德診所,彰化縣,彰化巿,彰化市中正路415號,04-7256979
莊永勳耳鼻喉科診所,彰化縣,彰化巿,彰化市曉陽路200號,04-7201551
永安診所,彰化縣,彰化巿,彰化市三民路207號,04-7231995
惠聖診所,彰化縣,彰化巿,彰化市中正路一段432號,04-7222699
陳家銘診所,彰化縣,彰化巿,彰化市民族路270號,04-7296658
幸運草小兒科診所,彰化縣,彰化巿,彰化市東民街11號,04-7287557
葉易愷耳鼻喉科診所,彰化縣,彰化巿,彰化市中正路一段258號,04-7277679
信義診所,彰化縣,彰化巿,彰化市崙平南路333號,04-7631435
張文宗小兒科內科診所,彰化縣,彰化巿,彰化縣彰化市長安街25號,04-7256-363
林文乙診所,彰化縣,彰化巿,彰化縣彰化市曉陽路209號,04-7280-826
余偉傑小兒科診所,彰化縣,彰化巿,彰化縣彰化市曉陽路188號,04-7289-786
蔡明吉診所,彰化縣,彰化巿,彰化縣彰化市延平路397巷1號,04-7118-732
惠幼小兒科診所,彰化縣,彰化巿,彰化縣彰化市自強路38號,04-7268-800
蔡文瑞耳鼻喉科診所,彰化縣,彰化巿,彰化縣彰化市中正路二段491號,04-7273-238
鄭明宗小兒科診所,彰化縣,彰化巿,彰化縣彰化市中正路二段640號,04-7231-726
林明燦小兒科診所,彰化縣,彰化巿,彰化縣彰化市民權路243號,04-7223-526
陳錫鎰小兒科診所,彰化縣,彰化巿,彰化縣彰化市福安里民生南路76-1號,04-7259-592
盧正欽小兒科診所,彰化縣,彰化巿,彰化縣彰化市三民路78號,04-7235-358
楊志泰小兒科診所,彰化縣,彰化巿,彰化縣彰化市長壽街168號,04-7231-958
愛貝兒小兒科診所,彰化縣,彰化巿,彰化縣彰化市曉陽路47號,04-727-6388
莊永熙診所,彰化縣,彰化巿,彰化縣彰化市民族路493號,04-7240-805
平安診所,彰化縣,彰化巿,彰化縣彰化市中正路一段452號,04-7222-279
張寶倫診所,彰化縣,彰化巿,彰化縣彰化市中正路一段452號,04-7222-279
許小兒科診所,彰化縣,彰化巿,彰化縣彰化市中正路一段452號,04-7222-279
群祐小兒科診所,彰化縣,彰化巿,彰化市彰新路一段79號,04-7330-679
吳桂芬診所,彰化縣,彰化巿,彰化縣彰化市民生路161號,04-7280-638
陳奇男診所,彰化縣,彰化巿,彰化市三民路217號 ,04-7286671
廖慶龍骨科,彰化縣,彰化巿,彰化縣彰化市信義里中正路1段452號,04 728 2142
戰克鴻家醫小兒科,彰化縣,彰化巿東區,彰化巿永安街446號,04-7331788
謝銘森小兒科診所,彰化縣,彰化巿東區,彰化縣彰化市彰南路一段97號,04-7371-997
賴政光耳鼻喉科診所,彰化縣,彰化巿東區,彰化縣彰化市彰南路一段433號,04-7375-678
祐幼小兒科診所,彰化縣,彰化巿東區,彰化縣彰化市彰南路二段27號,04-7372-499
陽光小兒科診所,彰化縣,彰化巿東區,彰化縣彰化市彰南路二段219號,04-7320-210
三福診所,彰化縣,福興鄉,彰化縣福興鄉彰水路368號,04-7681024
慶安診所,彰化縣,福興鄉,彰化縣福興鄉沿海路三段275號,04-7704276
德茂診所,彰化縣,線西鄉,彰化縣線西鄉沿海路一段772號,04-7584720
廖慶龍骨科,彰化縣,彰化巿,彰化縣彰化市信義里中正路1段452號,04 728 2142
幼恩小兒科診所,彰化縣,北斗鎮,彰化縣北斗鎮中華路245號,04-8781-819
恩幼小兒科診所,彰化縣,北斗鎮,彰化縣北斗鎮中華路245號,04-8781819
天莘診所,彰化縣,員林市,彰化縣員林市中正路511號,04-8369918
博元婦產科診所,彰化縣,彰化市南西北區,彰化縣彰化市信義里中正路一段392號,04-7260678
謝元杰婦產科診所,彰化縣,彰化市南西北區,彰化市彰新一段79號2樓,04-7330679
吉原診所,彰化縣,彰化市南西北區,彰化市中華西路266號,04-7627522
鍾尚霖婦產科診所,彰化縣,溪湖鎮,彰化縣溪湖鎮福德路21號,04-8612565
林忠毅婦產科診所,彰化縣,溪湖鎮,彰化縣溪湖鎮湖西里二溪路１段233號,04-8829666
蔡旭坤婦產科診所,彰化縣,二林鎮,彰化縣二林鎮照西南路268號,04 8956816
守仁診所,彰化縣,溪州鄉,彰化縣溪州鄉公正街239號,04-8890262
鄭國洲診所,彰化縣,溪州鄉,彰化縣溪州鄉前庄巷1號,04-8805985
